Date,KO,PEP
2015-01-02,30.437501907348633,69.97865295410156
2015-01-05,30.437501907348633,69.45252990722656
2015-01-06,30.668636322021484,68.92642974853516
2015-01-07,31.05145835876465,70.94194030761719
2015-01-08,31.427043914794922,72.2312240600586
2015-01-09,31.080339431762695,71.74217224121094
2015-01-12,30.79865264892578,71.44577026367188
2015-01-13,30.79142951965332,71.39387512207031
2015-01-14,30.74085807800293,71.6310043334961
2015-01-15,30.610857009887695,71.6310043334961
2015-01-16,30.71919059753418,72.0904312133789
2015-01-20,31.17424774169922,72.25345611572266
2015-01-21,31.318696975708008,72.17192077636719
2015-01-22,31.6220645904541,73.28341674804688
2015-01-23,31.28258514404297,73.0092544555664
2015-01-26,31.058677673339844,73.12782287597656
2015-01-27,30.618070602416992,71.6680679321289
2015-01-28,30.278593063354492,70.92708587646484
2015-01-29,30.40861701965332,71.15679931640625
2015-01-30,29.736881256103516,69.48956298828125
2015-02-02,30.040231704711914,70.63811492919922
2015-02-03,30.069129943847656,71.28272247314453
2015-02-04,30.105241775512695,71.57916259765625
2015-02-05,30.184696197509766,71.58656311035156
2015-02-06,29.939125061035156,71.6606674194336
2015-02-09,29.780210494995117,71.11234283447266
2015-02-10,30.62528419494629,72.60913848876953
2015-02-11,30.60362434387207,74.3948745727539
2015-02-12,30.45917510986328,74.298583984375
2015-02-13,30.329145431518555,73.45384979248047
2015-02-17,30.19913673400879,72.88328552246094
2015-02-18,30.1413631439209,73.60206604003906
2015-02-19,30.41582679748535,73.15003967285156
2015-02-20,30.314714431762695,73.4019546508789
2015-02-23,30.228031158447266,73.69096374511719
2015-02-24,30.43027114868164,73.78726959228516
2015-02-25,30.372495651245117,73.72801208496094
2015-02-26,30.668636322021484,73.4094009399414
2015-02-27,31.275365829467773,73.34271240234375
2015-03-02,31.203121185302734,73.35750579833984
2015-03-03,31.02255630493164,72.9129409790039
2015-03-04,30.697538375854492,72.625732421875
2015-03-05,30.62528419494629,72.52874755859375
2015-03-06,29.98967742919922,71.73807525634766
2015-03-09,29.895776748657227,71.64108276367188
2015-03-10,29.39017105102539,70.44009399414062
2015-03-11,28.964017868041992,69.84333038330078
2015-03-12,29.546655654907227,71.39491271972656
2015-03-13,29.06598472595215,70.3580551147461
2015-03-16,29.342731475830078,71.20096588134766
2015-03-17,29.50295066833496,70.21630096435547
2015-03-18,29.56849479675293,70.59671783447266
2015-03-19,29.146093368530273,70.1939697265625
2015-03-20,29.60491180419922,71.11892700195312
2015-03-23,29.583053588867188,71.49933624267578
2015-03-24,29.473827362060547,71.50682067871094
2015-03-25,29.459259033203125,71.05924987792969
2015-03-26,29.386432647705078,71.33524322509766
2015-03-27,29.18979263305664,71.57391357421875
2015-03-30,29.50295066833496,71.9991226196289
2015-03-31,29.532085418701172,71.32778930664062
2015-04-01,29.62677001953125,70.9323959350586
2015-04-02,29.62677001953125,71.3799819946289
2015-04-06,29.98362922668457,71.96929931640625
2015-04-07,29.867095947265625,71.76789855957031
2015-04-08,29.779695510864258,71.63362884521484
2015-04-09,29.89622688293457,71.8722915649414
2015-04-10,29.772428512573242,71.76040649414062
2015-04-13,29.64133071899414,71.26065826416016
2015-04-14,29.50295066833496,71.97673034667969
2015-04-15,29.422840118408203,72.08118438720703
