112年08月 0050 元大台灣50       各日成交資訊,,,,,,,,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/08/01,"4,681,935","605,687,341",129,129.55,128.85,129.45,0.65,"5,568"
112/08/02,"13,214,168","1,691,372,960",129.4,129.45,127.45,127.85,-1.6,"25,553"
112/08/04,"7,590,841","965,724,465",127.25,127.5,126.9,127.25,-0.6,"17,688"
112/08/07,"4,928,020","632,072,444",127.65,128.7,127.55,128.5,1.25,"9,990"
112/08/08,"11,518,036","1,462,740,267",128.1,128.2,126.4,127,-1.5,"22,299"
112/08/09,"3,923,514","498,949,221",126.8,127.65,126.65,127.2,0.2,"6,570"
112/08/10,"12,013,887","1,520,233,956",126.9,127,126.3,126.4,-0.8,"24,030"
112/08/11,"8,352,738","1,057,052,710",127,127.35,126.15,126.3,-0.1,"14,891"
112/08/14,"24,758,060","3,085,645,422",125.65,125.7,124.1,124.5,-1.8,"45,116"
112/08/15,"8,064,361","1,007,886,002",125.25,125.45,124.6,124.7,0.2,"13,972"
112/08/16,"19,265,218","2,386,950,619",124.15,124.4,123.6,124.05,-0.65,"28,773"
112/08/17,"10,203,696","1,262,107,790",123.6,124.65,122.9,124.6,0.55,"14,568"
112/08/18,"8,329,354","1,033,129,605",124.2,124.8,123.7,123.85,-0.75,"15,609"
112/08/21,"11,056,378","1,364,733,615",124.2,124.45,123,123,-0.85,"22,157"
112/08/22,"3,869,049","479,695,909",124,124.35,123.7,124,1,"5,903"
112/08/23,"6,976,770","870,807,674",124,125.15,124,124.85,0.85,"6,513"
112/08/24,"7,038,124","892,217,306",126.4,127.1,126.25,127,2.15,"9,358"
112/08/25,"8,003,807","1,000,262,751",125.5,125.5,124.5,124.55,-2.45,"19,366"
112/08/28,"4,490,279","563,092,008",124.85,125.7,124.75,125.35,0.8,"5,969"
112/08/29,"6,680,673","837,437,077",126,126.05,124.7,126.05,0.7,"5,747"
112/08/30,"5,913,148","748,785,529",126.75,127.05,126.1,126.6,0.55,"5,496"
112/08/31,"4,631,756","582,873,215",126.55,126.55,125.5,125.7,-0.9,"7,284"
說明:,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,
